Sectores de actividad económica agregados	Categoría de residuos (CER-Stat) agregada	Peligrosidad	año	Total
A: Agricultura, ganadería, silvicultura y pesca	(01-03): Químicos	No peligrosos	2019	6.268,0
A: Agricultura, ganadería, silvicultura y pesca	(01-03): Químicos	No peligrosos	2018	6.836,9
A: Agricultura, ganadería, silvicultura y pesca	(01-03): Químicos	No peligrosos	2017	5.657,0
A: Agricultura, ganadería, silvicultura y pesca	(01-03): Químicos	No peligrosos	2016	6.604,0
A: Agricultura, ganadería, silvicultura y pesca	(01-03): Químicos	No peligrosos	2015	6.193,7
A: Agricultura, ganadería, silvicultura y pesca	(01-03): Químicos	Peligrosos	2019	23.817,8
A: Agricultura, ganadería, silvicultura y pesca	(01-03): Químicos	Peligrosos	2018	25.983,5
A: Agricultura, ganadería, silvicultura y pesca	(01-03): Químicos	Peligrosos	2017	21.088,4
A: Agricultura, ganadería, silvicultura y pesca	(01-03): Químicos	Peligrosos	2016	25.502,4
A: Agricultura, ganadería, silvicultura y pesca	(01-03): Químicos	Peligrosos	2015	23.617,9
A: Agricultura, ganadería, silvicultura y pesca	(01-03): Químicos	Total	2019	30.085,8
A: Agricultura, ganadería, silvicultura y pesca	(01-03): Químicos	Total	2018	32.820,4
A: Agricultura, ganadería, silvicultura y pesca	(01-03): Químicos	Total	2017	26.745,4
A: Agricultura, ganadería, silvicultura y pesca	(01-03): Químicos	Total	2016	32.106,4
A: Agricultura, ganadería, silvicultura y pesca	(01-03): Químicos	Total	2015	29.811,6
A: Agricultura, ganadería, silvicultura y pesca	(06): Metálicos	No peligrosos	2019	8.633,5
A: Agricultura, ganadería, silvicultura y pesca	(06): Metálicos	No peligrosos	2018	8.939,7
A: Agricultura, ganadería, silvicultura y pesca	(06): Metálicos	No peligrosos	2017	6.411,4
A: Agricultura, ganadería, silvicultura y pesca	(06): Metálicos	No peligrosos	2016	8.857,9
A: Agricultura, ganadería, silvicultura y pesca	(06): Metálicos	No peligrosos	2015	8.459,9
A: Agricultura, ganadería, silvicultura y pesca	(06): Metálicos	Peligrosos	2019	..
A: Agricultura, ganadería, silvicultura y pesca	(06): Metálicos	Peligrosos	2018	..
A: Agricultura, ganadería, silvicultura y pesca	(06): Metálicos	Peligrosos	2017	..
A: Agricultura, ganadería, silvicultura y pesca	(06): Metálicos	Peligrosos	2016	..
A: Agricultura, ganadería, silvicultura y pesca	(06): Metálicos	Peligrosos	2015	..
A: Agricultura, ganadería, silvicultura y pesca	(06): Metálicos	Total	2019	8.633,5
