"Variable1	Valor1	Variable2	Valor2	Variable3	Valor3	Variable4	Valor4	Variable5	Valor5	PERIODO	VALOR"
"Comunidades y Ciudades Autónomas	Ceuta	Conceptos Demográficos	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	Totales de edad	Todas las edades	Cambios de conceptos	Base 2013			2021	32,3"
"Comunidades y Ciudades Autónomas	Ceuta	Conceptos Demográficos	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	Totales de edad	Todas las edades	Cambios de conceptos	Base 2013			2020	35,3"
"Comunidades y Ciudades Autónomas	Ceuta	Conceptos Demográficos	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	Totales de edad	Todas las edades	Cambios de conceptos	Base 2013			2019	40,6"
"Comunidades y Ciudades Autónomas	Ceuta	Conceptos Demográficos	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	Totales de edad	Todas las edades	Cambios de conceptos	Base 2013			2018	38,3"
"Comunidades y Ciudades Autónomas	Ceuta	Conceptos Demográficos	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	Totales de edad	Todas las edades	Cambios de conceptos	Base 2013			2017	32,5"
"Comunidades y Ciudades Autónomas	Ceuta	Conceptos Demográficos	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	Totales de edad	Todas las edades	Cambios de conceptos	Base 2013			2016	36,0"
"Comunidades y Ciudades Autónomas	Ceuta	Conceptos Demográficos	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	Totales de edad	Todas las edades	Cambios de conceptos	Base 2013			2015	31,0"
"Comunidades y Ciudades Autónomas	Ceuta	Conceptos Demográficos	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	Totales de edad	Todas las edades	Cambios de conceptos	Base 2013			2014	44,3"
"Comunidades y Ciudades Autónomas	Ceuta	Conceptos Demográficos	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	Totales de edad	Todas las edades	Cambios de conceptos	Base 2013			2013	40,8"
"Comunidades y Ciudades Autónomas	Ceuta	Conceptos Demográficos	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	Totales de edad	Todas las edades	Cambios de conceptos	Base 2013			2012	32,2"
"Comunidades y Ciudades Autónomas	Ceuta	Conceptos Demográficos	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	Totales de edad	Todas las edades	Cambios de conceptos	Base 2013			2011	26,3"
"Comunidades y Ciudades Autónomas	Ceuta	Conceptos Demográficos	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	Totales de edad	Todas las edades	Cambios de conceptos	Base 2013			2010	31,3"
"Comunidades y Ciudades Autónomas	Ceuta	Conceptos Demográficos	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	Totales de edad	Todas las edades	Cambios de conceptos	Base 2013			2009	36,4"
"Comunidades y Ciudades Autónomas	Ceuta	Conceptos Demográficos	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	Totales de edad	Todas las edades	Cambios de conceptos	Base 2013			2008	40,1"
"Comunidades y Ciudades Autónomas	Melilla	Conceptos Demográficos	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	Totales de edad	Todas las edades	Cambios de conceptos	Base 2013			2021	30,1"
"Comunidades y Ciudades Autónomas	Melilla	Conceptos Demográficos	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	Totales de edad	Todas las edades	Cambios de conceptos	Base 2013			2020	36,3"
"Comunidades y Ciudades Autónomas	Melilla	Conceptos Demográficos	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	Totales de edad	Todas las edades	Cambios de conceptos	Base 2013			2019	35,7"
"Comunidades y Ciudades Autónomas	Melilla	Conceptos Demográficos	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	Totales de edad	Todas las edades	Cambios de conceptos	Base 2013			2018	21,4"
"Comunidades y Ciudades Autónomas	Melilla	Conceptos Demográficos	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	Totales de edad	Todas las edades	Cambios de conceptos	Base 2013			2017	26,2"
"Comunidades y Ciudades Autónomas	Melilla	Conceptos Demográficos	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	Totales de edad	Todas las edades	Cambios de conceptos	Base 2013			2016	21,8"
"Comunidades y Ciudades Autónomas	Melilla	Conceptos Demográficos	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	Totales de edad	Todas las edades	Cambios de conceptos	Base 2013			2015	25,8"
"Comunidades y Ciudades Autónomas	Melilla	Conceptos Demográficos	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	Totales de edad	Todas las edades	Cambios de conceptos	Base 2013			2014	19,2"
"Comunidades y Ciudades Autónomas	Melilla	Conceptos Demográficos	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	Totales de edad	Todas las edades	Cambios de conceptos	Base 2013			2013	21,7"
"Comunidades y Ciudades Autónomas	Melilla	Conceptos Demográficos	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	Totales de edad	Todas las edades	Cambios de conceptos	Base 2013			2012	8,6"
"Comunidades y Ciudades Autónomas	Melilla	Conceptos Demográficos	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	Totales de edad	Todas las edades	Cambios de conceptos	Base 2013			2011	26,5"
"Comunidades y Ciudades Autónomas	Melilla	Conceptos Demográficos	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	Totales de edad	Todas las edades	Cambios de conceptos	Base 2013			2010	25,8"
"Comunidades y Ciudades Autónomas	Melilla	Conceptos Demográficos	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	Totales de edad	Todas las edades	Cambios de conceptos	Base 2013			2009	30,0"
"Comunidades y Ciudades Autónomas	Melilla	Conceptos Demográficos	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	Totales de edad	Todas las edades	Cambios de conceptos	Base 2013			2008	17,7"
"Comunidades y Ciudades Autónomas	Castilla - La Mancha	Conceptos Demográficos	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	Totales de edad	Todas las edades	Cambios de conceptos	Base 2013			2021	27,4"
"Comunidades y Ciudades Autónomas	Castilla - La Mancha	Conceptos Demográficos	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	Totales de edad	Todas las edades	Cambios de conceptos	Base 2013			2020	25,1"
"Comunidades y Ciudades Autónomas	Castilla - La Mancha	Conceptos Demográficos	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	Totales de edad	Todas las edades	Cambios de conceptos	Base 2013			2019	26,2"
"Comunidades y Ciudades Autónomas	Castilla - La Mancha	Conceptos Demográficos	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	Totales de edad	Todas las edades	Cambios de conceptos	Base 2013			2018	29,9"
"Comunidades y Ciudades Autónomas	Castilla - La Mancha	Conceptos Demográficos	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	Totales de edad	Todas las edades	Cambios de conceptos	Base 2013			2017	28,1"
"Comunidades y Ciudades Autónomas	Castilla - La Mancha	Conceptos Demográficos	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	Totales de edad	Todas las edades	Cambios de conceptos	Base 2013			2016	31,7"
"Comunidades y Ciudades Autónomas	Castilla - La Mancha	Conceptos Demográficos	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	Totales de edad	Todas las edades	Cambios de conceptos	Base 2013			2015	28,5"
"Comunidades y Ciudades Autónomas	Castilla - La Mancha	Conceptos Demográficos	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	Totales de edad	Todas las edades	Cambios de conceptos	Base 2013			2014	28,4"
"Comunidades y Ciudades Autónomas	Castilla - La Mancha	Conceptos Demográficos	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	Totales de edad	Todas las edades	Cambios de conceptos	Base 2013			2013	31,3"
"Comunidades y Ciudades Autónomas	Castilla - La Mancha	Conceptos Demográficos	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	Totales de edad	Todas las edades	Cambios de conceptos	Base 2013			2012	30,0"
"Comunidades y Ciudades Autónomas	Castilla - La Mancha	Conceptos Demográficos	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	Totales de edad	Todas las edades	Cambios de conceptos	Base 2013			2011	29,4"
"Comunidades y Ciudades Autónomas	Castilla - La Mancha	Conceptos Demográficos	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	Totales de edad	Todas las edades	Cambios de conceptos	Base 2013			2010	28,3"
"Comunidades y Ciudades Autónomas	Castilla - La Mancha	Conceptos Demográficos	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	Totales de edad	Todas las edades	Cambios de conceptos	Base 2013			2009	24,8"
"Comunidades y Ciudades Autónomas	Castilla - La Mancha	Conceptos Demográficos	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	Totales de edad	Todas las edades	Cambios de conceptos	Base 2013			2008	26,4"
