Variable1;Valor1;PERIODO;VALOR
Nombre;ODS - 1.5.2  y 11.5.2  Datos globales de daños asegurados en bienes y daños en las personas (daños directos) causados por riesgos extraordinarios (inundación, terremoto, vientos fuertes, terrorismo, etc.);2021;528.479.594
Nombre;ODS - 1.5.2  y 11.5.2  Datos globales de daños asegurados en bienes y daños en las personas (daños directos) causados por riesgos extraordinarios (inundación, terremoto, vientos fuertes, terrorismo, etc.);2020;359.932.019
Nombre;ODS - 1.5.2  y 11.5.2  Datos globales de daños asegurados en bienes y daños en las personas (daños directos) causados por riesgos extraordinarios (inundación, terremoto, vientos fuertes, terrorismo, etc.);2019;749.900.898
Nombre;ODS - 1.5.2  y 11.5.2  Datos globales de daños asegurados en bienes y daños en las personas (daños directos) causados por riesgos extraordinarios (inundación, terremoto, vientos fuertes, terrorismo, etc.);2018;249.489.000
Nombre;ODS - 1.5.2  y 11.5.2  Datos globales de daños asegurados en bienes y daños en las personas (daños directos) causados por riesgos extraordinarios (inundación, terremoto, vientos fuertes, terrorismo, etc.);2017;204.098.653
Nombre;ODS - 1.5.2  y 11.5.2  Datos globales de daños asegurados en bienes y daños en las personas (daños directos) causados por riesgos extraordinarios (inundación, terremoto, vientos fuertes, terrorismo, etc.);2016;201.006.549
Nombre;ODS - 1.5.2  y 11.5.2  Datos globales de daños asegurados en bienes y daños en las personas (daños directos) causados por riesgos extraordinarios (inundación, terremoto, vientos fuertes, terrorismo, etc.);2015;199.105.814
Nombre;ODS - 1.5.2  y 11.5.2  Datos globales de daños asegurados en bienes y daños en las personas (daños directos) causados por riesgos extraordinarios (inundación, terremoto, vientos fuertes, terrorismo, etc.);2014;180.388.382
Nombre;ODS - 1.5.2  y 11.5.2  Datos globales de daños asegurados en bienes y daños en las personas (daños directos) causados por riesgos extraordinarios (inundación, terremoto, vientos fuertes, terrorismo, etc.);2013;194.684.983
Nombre;ODS - 1.5.2  y 11.5.2  Datos globales de daños asegurados en bienes y daños en las personas (daños directos) causados por riesgos extraordinarios (inundación, terremoto, vientos fuertes, terrorismo, etc.);2012;299.957.212
Nombre;ODS - 1.5.2  y 11.5.2  Datos globales de daños asegurados en bienes y daños en las personas (daños directos) causados por riesgos extraordinarios (inundación, terremoto, vientos fuertes, terrorismo, etc.);2011;733.840.889
Nombre;ODS - 1.5.2  y 11.5.2  Datos globales de daños asegurados en bienes y daños en las personas (daños directos) causados por riesgos extraordinarios (inundación, terremoto, vientos fuertes, terrorismo, etc.);2010;514.837.319
Nombre;ODS - 1.5.2  y 11.5.2  Datos globales de daños asegurados en bienes y daños en las personas (daños directos) causados por riesgos extraordinarios (inundación, terremoto, vientos fuertes, terrorismo, etc.);2009;847.722.990
Nombre;ODS - 1.5.2  y 11.5.2  Datos globales de daños asegurados en bienes y daños en las personas (daños directos) causados por riesgos extraordinarios (inundación, terremoto, vientos fuertes, terrorismo, etc.);2008;341.119.020
